,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
400,129.111,BlueThrewBall,0,0,1,2
401,129.124,HitPurple,0,0,1,1
402,129.24,PurplePickedUpBall,0,1,1,1
403,129.389,PurpleThrewBall,0,0,1,1
404,129.397,BluePickedUpBall,1,0,1,1
405,129.4,PurpleDash,1,0,1,1
406,129.4,BlueDash,1,0,1,1
407,129.402,HitBlue,1,0,0,1
408,129.404,GameEnd,0,0,0,1
409,129.404,ResetScene,0,0,3,3
410,130.345,PurplePickedUpBall,0,1,3,3
411,130.494,BlueDash,0,1,3,3
412,130.507,PurplePickedUpBall,0,2,3,3
413,130.508,PurpleDash,0,2,3,3
414,130.635,BluePickedUpBall,1,2,3,3
415,131.388,PurplePickedUpBall,1,3,3,3
416,131.506,BluePickedUpBall,2,3,3,3
417,131.647,BluePickedUpBall,3,3,3,3
418,131.658,BluePickedUpBall,4,3,3,3
419,131.782,PurpleDash,4,3,3,3
420,131.783,BlueDash,4,3,3,3
421,132.299,PurpleThrewBall,4,2,3,3
422,132.813,PurplePickedUpBall,4,3,3,3
423,132.916,PurpleDash,4,3,3,3
424,132.917,BlueDash,4,3,3,3
425,133.298,PurpleThrewBall,4,2,3,3
426,133.299,BlueThrewBall,3,2,3,3
427,133.544,PurpleThrewBall,3,1,3,3
428,133.678,BlueThrewBall,2,1,3,3
429,133.866,HitPurple,2,1,3,2
430,134.077,BlueDash,2,1,3,2
431,134.099,PurpleThrewBall,2,0,3,2
432,134.323,BlueThrewBall,1,0,3,2
433,134.34,PurpleDash,1,0,3,2
434,134.757,BlueThrewBall,0,0,3,2
435,134.906,HitPurple,0,0,3,1
436,134.914,PurplePickedUpBall,0,1,3,1
437,134.918,PurpleThrewBall,0,0,3,1
438,135.561,BlueDash,0,0,3,1
439,135.586,PurpleDash,0,0,3,1
440,136.86,BlueDash,0,0,3,1
441,136.894,BluePickedUpBall,1,0,3,1
442,137.043,BlueThrewBall,0,0,3,1
443,137.349,PurpleDash,0,0,3,1
444,137.507,BluePickedUpBall,1,0,3,1
445,137.751,BlueThrewBall,0,0,3,1
446,137.754,HitPurple,0,0,3,0
447,137.755,GameEnd,0,0,3,0
448,137.756,ResetScene,0,0,3,3
449,137.756,PurplePickedUpBall,0,1,3,3
450,138.085,PurpleThrewBall,0,0,3,3
451,138.224,BlueDash,0,0,3,3
452,138.688,PurplePickedUpBall,0,1,3,3
453,138.697,PurpleDash,0,1,3,3
454,139.614,PurpleThrewBall,0,0,3,3
455,139.616,PurplePickedUpBall,0,1,3,3
456,140.177,BlueDash,0,1,3,3
457,140.75,PurpleDash,0,1,3,3
